"","EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeCount","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","Over18","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","JobInvolvement","PerformanceRating","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","avg_wrk_hr"
"1",1,51,"No","Travel_Rarely","Sales",6,2,"Life Sciences",1,"Female",1,"Healthcare Representative","Married",131160,1,"Y",11,8,0,1,6,1,0,0,3,3,3,4,2,7.37
"2",2,31,"Yes","Travel_Frequently","Research & Development",10,1,"Life Sciences",1,"Female",1,"Research Scientist","Single",41890,0,"Y",23,8,1,6,3,5,1,4,2,4,3,2,4,7.72
"3",3,32,"No","Travel_Frequently","Research & Development",17,4,"Other",1,"Male",4,"Sales Executive","Married",193280,1,"Y",15,8,3,5,2,5,0,3,3,3,2,2,1,7.01
"4",4,38,"No","Non-Travel","Research & Development",2,5,"Life Sciences",1,"Male",3,"Human Resources","Married",83210,3,"Y",11,8,3,13,5,8,7,5,2,3,4,4,3,7.19
"5",5,32,"No","Travel_Rarely","Research & Development",10,1,"Medical",1,"Male",1,"Sales Executive","Single",23420,4,"Y",12,8,2,9,2,6,0,4,3,3,4,1,3,8.01
"6",6,46,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences",1,"Female",4,"Research Director","Married",40710,3,"Y",13,8,0,28,5,7,7,7,3,3,3,2,2,10.8
"7",7,28,"Yes","Travel_Rarely","Research & Development",11,2,"Medical",1,"Male",2,"Sales Executive","Single",58130,2,"Y",20,8,1,5,2,0,0,0,3,4,1,3,1,6.92
"8",8,29,"No","Travel_Rarely","Research & Development",18,3,"Life Sciences",1,"Male",2,"Sales Executive","Married",31430,2,"Y",22,8,3,10,2,0,0,0,3,4,1,2,3,6.73
"9",9,31,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",3,"Laboratory Technician","Married",20440,0,"Y",21,8,0,10,2,9,7,8,3,4,2,4,3,7.24
"10",10,25,"No","Non-Travel","Research & Development",7,4,"Medical",1,"Female",4,"Laboratory Technician","Divorced",134640,1,"Y",13,8,1,6,2,6,1,5,3,3,2,1,3,7.08
"11",11,45,"No","Travel_Rarely","Research & Development",17,2,"Medical",1,"Male",2,"Laboratory Technician","Married",79910,0,"Y",13,8,2,21,2,20,4,10,2,3,3,4,3,8.4
"13",13,55,"No","Travel_Rarely","Research & Development",14,4,"Life Sciences",1,"Female",1,"Sales Executive","Single",55380,0,"Y",17,8,0,37,2,36,4,13,3,3,4,1,3,9.3
"14",14,47,"Yes","Non-Travel","Research & Development",1,1,"Medical",1,"Male",1,"Research Scientist","Married",57620,1,"Y",11,8,2,10,4,10,9,9,2,3,1,2,2,9.4
"15",15,28,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",1,"Manufacturing Director","Married",25920,1,"Y",14,8,0,5,2,5,0,4,3,3,4,4,2,6.09
"16",16,37,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",2,"Healthcare Representative","Married",53460,4,"Y",11,8,0,7,2,5,0,1,3,3,3,4,4,6.71
"17",17,21,"No","Travel_Rarely","Research & Development",3,2,"Life Sciences",1,"Male",1,"Laboratory Technician","Single",42130,1,"Y",12,8,3,3,3,3,1,0,2,3,4,3,4,6.62
"18",18,37,"No","Non-Travel","Research & Development",1,3,"Medical",1,"Male",2,"Sales Executive","Divorced",41270,2,"Y",13,8,1,15,2,5,0,2,3,3,1,4,3,11.01
"19",19,35,"No","Travel_Rarely","Sales",7,4,"Life Sciences",1,"Male",1,"Sales Representative","Divorced",24380,7,"Y",16,8,0,10,5,7,6,2,2,3,2,2,2,6.96
"20",20,38,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences",1,"Female",1,"Manager","Divorced",68700,1,"Y",11,8,1,8,5,8,7,7,3,3,1,1,3,9.29
"21",21,26,"No","Travel_Frequently","Research & Development",1,4,"Other",1,"Male",2,"Laboratory Technician","Divorced",104470,1,"Y",18,8,0,6,3,6,1,4,3,3,3,2,1,7.59
"22",22,50,"No","Travel_Rarely","Sales",8,4,"Life Sciences",1,"Male",1,"Research Scientist","Divorced",96670,3,"Y",23,8,0,28,2,10,1,6,2,4,1,2,2,6.01
"23",23,53,"No","Travel_Rarely","Research & Development",11,4,"Life Sciences",1,"Female",2,"Research Scientist","Married",21480,3,"Y",11,8,0,21,2,5,1,3,3,3,3,3,2,8.4
"25",25,29,"No","Travel_Frequently","Research & Development",16,4,"Medical",1,"Male",1,"Laboratory Technician","Single",65130,1,"Y",11,8,1,10,2,10,0,9,3,3,2,4,2,7.09
"26",26,55,"No","Travel_Rarely","Research & Development",1,4,"Other",1,"Female",1,"Research Scientist","Married",67990,3,"Y",11,8,0,12,2,10,0,8,3,3,2,4,3,9.36
"27",27,26,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",1,"Female",1,"Manager","Married",162910,1,"Y",22,8,0,5,3,5,3,3,3,4,1,1,3,10.98
"28",28,37,"No","Travel_Rarely","Sales",5,1,"Marketing",1,"Male",1,"Research Scientist","Single",27050,1,"Y",11,8,0,17,2,17,5,7,3,3,4,4,3,7.6
"29",29,44,"Yes","Travel_Frequently","Research & Development",1,2,"Medical",1,"Male",2,"Research Scientist","Divorced",103330,3,"Y",14,8,1,19,2,1,0,0,2,3,4,3,1,10.98
